,USGS-LESTER LEWIS/S788,NWFWMD-BIKE TRAIL / NITRATE POT. MAP/S795,NWFWMD-BRADFORD BROOK DEEP/S793,NWFWMD-BRADFORD BROOK SHALLOW,TOM BROWN TEST/S791,USGS-OLSON RD./S677,NWFWMD-HQ FLORIDAN OBS/S704,USGS-LAKE JACKSON INTERMEDIATE/S706,NWFWMD-NITRATE #1,NWFWMD-NITRATE #2/S790,NWFWMD-NITRATE #4/S782,NWFWMD-NITRATE #5/S796,NWFWMD-NITRATE #6/S797,WAKULLA CORRECTIONAL INSTITUTE #1/S779,WAKULLA CONDUIT WELL@WEST OF HWY 61,FGS - SULLIVAN SINK #1,NWFWMD GW-2F-LZ (FT BRADEN)/S802,NWFWMD GW-3F-LZ (ANF FR-305),NWFWMD GW-4F-UZ (HWY27 DOT),NWFWMD GW-5F (LEON CTY VFD)/S814,NWFWMD GW-6F (MICC GREENWAY)/S816,NWFWMD GW-7F (LEON CR-59)/S818,NWFWMD GW-5S (LEON CTY VFD),NWFWMD GW-7S (LEON CR-59),NWFWMD GW-4F-LZ (HWY27 DOT)/S812,NWFWMD GW-12F (RIVERSPRINGS MS)/S820,NWFWMD GW-2S (FT BRADEN)/S805,NWFWMD GW-6S (MICC GREENWAY),NWFWMD GW-2F-UZ (FT BRADEN)/S826,NWFWMD GW-3F-UZ (ANF FR-305)
NWFWMD GW-6F (MICC GREENWAY)/S816,0.234214347,0.789397895,0.931818825,0.768039092,0.958824241,0.945299395,0.825025083,0.78327601,-0.232765594,-0.203535094,0.152949843,0.816275648,0.813505086,-0.061769553,0.087172069,0.234654366,0.924527009,0.921418565,0.912576383,0.963020074,1,0.869756574,0.885762425,0.825370292,0.859397603,0.028014512,0.826236217,0.952217653,0.725659476,0.845450253
NWFWMD GW-7F (LEON CR-59)/S818,-0.160614528,0.395142548,0.668856736,0.401445561,0.770656827,0.828828611,0.700824614,0.958631937,-0.211297555,-0.185412977,-0.102345758,0.445445971,0.427003686,-0.050713407,0.020590985,-0.188883677,0.758648618,0.775773911,0.608134241,0.782877196,0.869756574,1,0.665809962,0.919673785,0.55617475,-0.152384818,0.420117834,0.923029276,0.139940489,0.619928762
NWFWMD GW-5S (LEON CTY VFD),0.336231571,0.832810509,0.868111306,0.783088559,0.881571635,0.858939661,0.624082972,0.520390187,-0.252534986,-0.226094515,0.242342085,0.839266434,0.847045127,-0.027872781,0.161090341,0.330363232,0.727386551,0.748474475,0.931515188,0.896192147,0.885762425,0.665809962,1,0.57137736,0.888037221,0.091269525,0.851434864,0.820620438,0.695727116,0.797712133
NWFWMD GW-7S (LEON CR-59),0.007572667,0.3817664,0.644475973,0.436139849,0.70694863,0.769840401,0.805852453,0.947503278,-0.292434553,-0.268328573,-0.204310384,0.465463422,0.423945174,-0.092558971,-0.156039262,-0.20363477,0.834410654,0.805892884,0.581075746,0.743225099,0.825370292,0.919673785,0.57137736,1,0.525631282,-0.267298002,0.545373928,0.849746997,0.537164592,0.635156249
NWFWMD GW-4F-LZ (HWY27 DOT)/S812,0.519798715,0.845580523,0.80215314,0.761875796,0.824059366,0.755115478,0.575149158,0.408644397,-0.054489926,-0.00211541,0.441916171,0.93041695,0.935967396,0.014116711,0.345524309,0.526376634,0.706591466,0.722688931,0.977007152,0.947459992,0.859397603,0.55617475,0.888037221,0.525631282,1,0.318192256,0.849126277,0.757442558,0.663102472,0.742241586
NWFWMD GW-12F (RIVERSPRINGS MS)/S820,0.300687334,0.471155831,0.169162225,0.181677918,0.145118894,0.013480986,-0.234111675,-0.236897144,0.779553604,0.826594013,0.977465839,0.377975903,0.431150652,0.127057378,0.955776856,0.902474016,-0.055317658,-0.085467623,0.240558008,0.156347566,0.028014512,-0.152384818,0.091269525,-0.267298002,0.318192256,1,0.120572383,-0.032877908,-0.051518419,0.085425997
NWFWMD GW-2S (FT BRADEN)/S805,0.54836247,0.827779001,0.84956611,0.87813701,0.840997041,0.768507488,0.710639846,0.511786459,-0.215392516,-0.206715675,0.268547634,0.850201194,0.856006627,-0.011299743,0.152382437,0.374829543,0.785121235,0.787146992,0.886789446,0.839181942,0.826236217,0.420117834,0.851434864,0.545373928,0.849126277,0.120572383,1,0.724115278,0.698389044,0.833752107
NWFWMD GW-6S (MICC GREENWAY),0.10583504,0.662666827,0.84269721,0.682343866,0.893956158,0.921677988,0.77695832,0.839263326,-0.24009226,-0.207375468,0.075518996,0.69351827,0.682749628,-0.076734067,0.021841241,0.147518795,0.861625873,0.858225924,0.807340827,0.901397885,0.952217653,0.923029276,0.820620438,0.849746997,0.757442558,-0.032877908,0.724115278,1,0.627150374,0.778526958
NWFWMD GW-2F-UZ (FT BRADEN)/S826,0.331808613,0.553048357,0.681577597,0.619033527,0.680234245,0.649109593,0.795341943,0.513362481,-0.270011798,-0.248902565,0.050194951,0.57241747,0.595160787,-0.062251529,-0.07049114,0.197252479,0.767710714,0.751699831,0.680800833,0.721762063,0.725659476,0.139940489,0.695727116,0.537164592,0.663102472,-0.051518419,0.698389044,0.627150374,1,0.743046016
NWFWMD GW-3F-UZ (ANF FR-305),0.401904312,0.739068838,0.852812554,0.822914151,0.873725453,0.812553087,0.748210635,0.591624283,-0.234249226,-0.212055634,0.211819553,0.775326298,0.768054336,0.01476175,0.090391783,0.298741818,0.83860232,0.845986077,0.795592563,0.807198119,0.845450253,0.619928762,0.797712133,0.635156249,0.742241586,0.085425997,0.833752107,0.778526958,0.743046016,1
