datetime,Temp_C,Precip_in,Gage_height_ft,spec_cond,DO,pH,Turbidity,Nitrate_Nitrite
2018-11-29 00:00:00+00:00,20.707291666666666,0.0,4.874791666666667,300.47727272727275,1.9510416666666666,7.5,0.06354166666666668,0.4217708333333334
2018-11-30 00:00:00+00:00,20.6875,0.0,4.96,301.43617021276594,1.8979166666666665,7.503125,0.01979166666666667,0.4170833333333333
2018-12-01 00:00:00+00:00,20.611458333333335,0.015833333333333335,5.3453124999999995,296.25,1.7489583333333334,7.5,0.01473684210526316,0.37875
2018-12-02 00:00:00+00:00,20.601041666666667,0.012291666666666666,5.676666666666667,293.8125,1.5906250000000002,7.5,0.005263157894736842,0.3502083333333333
2018-12-03 00:00:00+00:00,20.642708333333335,0.016354166666666666,5.985833333333333,294.1951219512195,1.5145833333333334,7.5,0.010416666666666666,0.34
2018-12-04 00:00:00+00:00,20.7,0.00010416666666666667,6.350833333333333,291.9895833333333,1.4906249999999999,7.5,0.09789473684210527,0.33989583333333334
2018-12-05 00:00:00+00:00,20.6875,0.0,6.638125,292.0416666666667,1.4072916666666666,7.5,0.16145833333333334,0.3304166666666667
2018-12-06 00:00:00+00:00,20.601149425287357,0.0,6.654895833333334,287.96590909090907,1.4827586206896552,7.526436781609195,0.1471264367816092,0.33896551724137935
2018-12-07 00:00:00+00:00,20.588541666666668,0.0,6.47625,284.0625,1.64375,7.519791666666666,0.03125,0.3547916666666666
2018-12-08 00:00:00+00:00,20.477083333333333,0.0,6.340520833333334,275.1666666666667,1.840625,7.5,0.15714285714285714,0.3642708333333333
2018-12-09 00:00:00+00:00,20.238541666666666,0.012499999999999999,6.314895833333334,263.2291666666667,2.109375,7.5,0.3260416666666667,0.369375
2018-12-10 00:00:00+00:00,19.896874999999998,0.0,6.125729166666667,257.7395833333333,2.389583333333333,7.5,0.44166666666666665,0.37385416666666665
2018-12-11 00:00:00+00:00,19.703125,0.0,5.958749999999999,260.15625,2.5166666666666666,7.5,0.434375,0.3798958333333333
2018-12-12 00:00:00+00:00,19.630208333333332,0.0,5.858229166666667,263.96875,2.558333333333333,7.5,0.3875,0.38000000000000006
2018-12-13 00:00:00+00:00,19.695833333333333,0.0,5.800520833333334,268.40625,2.4656249999999997,7.5,0.3083333333333333,0.3771875
2018-12-14 00:00:00+00:00,19.790625000000002,0.036770833333333336,5.9624999999999995,271.5157894736842,2.3802083333333335,7.5,0.23124999999999998,0.36697916666666663
2018-12-15 00:00:00+00:00,19.8,0.003541666666666667,6.223958333333333,272.0416666666667,2.2260416666666667,7.5,0.20638297872340428,0.3541666666666667
2018-12-16 00:00:00+00:00,19.8,0.0,6.377916666666667,273.7142857142857,2.182291666666667,7.5,0.25638297872340426,0.3440625
2018-12-17 00:00:00+00:00,19.8,0.0,6.464479166666667,276.7291666666667,2.1,7.5,0.27291666666666664,0.33687500000000004
