datetime,TempC,PrecipIn,Gage_Height,SC,DO,pH,Turbidity,Nitrat_Nitrite
2017-03-17 00:00:00+00:00,20.75,,4.167291667,321.7391304,2.394791667,7.6,0.001041667,0.5475
2017-03-18 00:00:00+00:00,20.76354167,,4.2021875,321.5208333,2.353125,7.6,0.002083333,0.5465625
2017-03-19 00:00:00+00:00,20.76145833,,4.208125,320.7708333,2.365625,7.6,0.005376344,0.543333333
2017-03-20 00:00:00+00:00,20.76354167,,4.153854167,321.6666667,2.382291667,7.6,0.003125,0.549166667
2017-03-21 00:00:00+00:00,20.76979167,,4.156770833,321.5444444,2.298958333,7.6,0.002083333,0.550729167
2017-03-22 00:00:00+00:00,20.79479167,,4.211354167,321.2307692,2.289583333,7.6,0.022105263,0.548229167
2017-03-23 00:00:00+00:00,20.77083333,,4.347291667,319.1145833,2.320833333,7.6,0.015789474,0.528229167
2017-03-24 00:00:00+00:00,20.77916667,,4.230208333,319.5913978,2.41875,7.6,0.00625,0.536458333
2017-03-25 00:00:00+00:00,20.81041667,,4.405729167,318.6979167,2.333333333,7.6,0.030434783,0.5253125
2017-03-26 00:00:00+00:00,20.83541667,,4.579583333,315.4479167,2.253125,7.6,0.021875,0.502291667
2017-03-27 00:00:00+00:00,20.84479167,,4.682083333,313.0987654,2.207291667,7.6,0.009677419,0.488958333
2017-03-28 00:00:00+00:00,20.828125,,4.7475,314.1182796,2.115625,7.6,0.032978723,0.473645833
2017-03-29 00:00:00+00:00,20.828125,,4.785416667,313.4431818,2.06875,7.6,0.028735632,0.465208333
2017-03-30 00:00:00+00:00,20.82604167,,4.823020833,312.9157895,2.046875,7.6,0.084146341,0.460625
2017-03-31 00:00:00+00:00,20.83229167,,4.953333333,312.1789474,1.955208333,7.6,0.082954545,0.446979167
2017-04-01 00:00:00+00:00,20.82708333,,4.975208333,312.7578947,1.934375,7.6,0.058888889,0.4340625
2017-04-02 00:00:00+00:00,20.81354167,,4.895416667,313.96875,1.955208333,7.6,0.058695652,0.435833333
2017-04-03 00:00:00+00:00,20.81458333,,4.955416667,312.4210526,1.884375,7.6,0.036170213,0.438541667
2017-04-04 00:00:00+00:00,20.82604167,,5.355833333,310.1263158,1.876842105,7.6,0.069791667,0.427291667
2017-04-05 00:00:00+00:00,20.828125,,5.478541667,309.6354167,1.773958333,7.6,0.015053763,0.415520833
2017-04-06 00:00:00+00:00,20.82916667,,5.33625,310.46875,1.927083333,7.6,0.016842105,0.435416667
2017-04-07 00:00:00+00:00,20.83020833,,5.07375,313.1041667,2.066666667,7.6,0.017021277,0.455104167
2017-04-08 00:00:00+00:00,20.83333333,,4.963958333,314.7916667,2.127083333,7.6,0.047435897,0.4696875
2017-04-09 00:00:00+00:00,20.834375,,4.9165625,314.5625,2.160416667,7.6,0.164285714,0.475625
2017-04-10 00:00:00+00:00,20.83854167,,4.901770833,314.1145833,2.15,7.6,0.15125,0.479166667
2017-04-11 00:00:00+00:00,20.84375,,4.885729167,313.8125,2.119791667,7.6,0.144047619,0.480729167
2017-04-12 00:00:00+00:00,20.82916667,,4.860520833,314.1956522,2.107291667,7.6,0.107368421,0.483229167
2017-04-13 00:00:00+00:00,20.82857143,,4.838020833,313.6296296,2.107058824,7.563095238,0.078409091,0.482588235
2017-04-14 00:00:00+00:00,20.84166667,,4.764479167,313.0609756,2.144791667,7.5,0.075,0.487291667
2017-04-15 00:00:00+00:00,20.84375,,4.734791667,313.956044,2.153125,7.5,0.067708333,0.491666667
2017-04-16 00:00:00+00:00,20.84166667,,4.715,313.1315789,2.165625,7.5,0.075,0.4928125
2017-04-17 00:00:00+00:00,20.846875,,4.679895833,313.4303797,2.180208333,7.5,0.079166667,0.497083333
2017-04-18 00:00:00+00:00,20.83958333,,4.6428125,313.9756098,2.178125,7.5,0.075,0.5003125
2017-04-19 00:00:00+00:00,20.834375,,4.6221875,314.6210526,2.190625,7.5,0.127083333,0.5021875
2017-04-20 00:00:00+00:00,20.80625,,4.5925,315.2087912,2.209375,7.5,0.120833333,0.5053125
2017-04-21 00:00:00+00:00,20.78958333,,4.618333333,315.6043956,2.227083333,7.5,0.091666667,0.5075
2017-04-22 00:00:00+00:00,20.78541667,,4.742916667,314.3085106,2.183333333,7.5,0.08,0.496875
2017-04-23 00:00:00+00:00,20.82291667,,4.791979167,313.4255319,2.148958333,7.5,0.068421053,0.486458333
2017-04-24 00:00:00+00:00,20.775,,4.66625,315.2359551,2.145833333,7.5,0.057291667,0.494479167
2017-04-25 00:00:00+00:00,20.78125,,4.593958333,316.4893617,2.253125,7.505208333,0.046875,0.504166667
2017-04-26 00:00:00+00:00,20.79479167,,4.698645833,317.1797753,2.198958333,7.511458333,0.06875,0.5009375
2017-04-27 00:00:00+00:00,20.83229167,,4.873229167,315.6111111,2.077083333,7.501041667,0.073404255,0.4865625
2017-04-28 00:00:00+00:00,20.84166667,,4.8621875,315.4782609,2.045833333,7.505208333,0.072631579,0.475833333
2017-04-29 00:00:00+00:00,20.83125,,4.7778125,316.2688172,2.054166667,7.503125,0.073958333,0.4809375
2017-04-30 00:00:00+00:00,20.84270833,,4.796666667,316.1704545,2.076041667,7.520833333,0.062105263,0.485833333
