Datetime,USGS-LESTER LEWIS/S788,NWFWMD-BIKE TRAIL / NITRATE POT. MAP/S795,NWFWMD-BRADFORD BROOK DEEP/S793,NWFWMD-BRADFORD BROOK SHALLOW,TOM BROWN TEST/S791,USGS-OLSON RD./S677,NWFWMD-HQ FLORIDAN OBS/S704,USGS-LAKE JACKSON INTERMEDIATE/S706,NWFWMD-NITRATE #1,NWFWMD-NITRATE #2/S790,NWFWMD-NITRATE #4/S782,NWFWMD-NITRATE #5/S796,NWFWMD-NITRATE #6/S797,WAKULLA CORRECTIONAL INSTITUTE #1/S779,WAKULLA CONDUIT WELL@WEST OF HWY 61,FGS - SULLIVAN SINK #1,NWFWMD GW-2F-LZ (FT BRADEN)/S802,NWFWMD GW-3F-LZ (ANF FR-305),NWFWMD GW-4F-UZ (HWY27 DOT),NWFWMD GW-5F (LEON CTY VFD)/S814,NWFWMD GW-6F (MICC GREENWAY)/S816,NWFWMD GW-7F (LEON CR-59)/S818,NWFWMD GW-5S (LEON CTY VFD),NWFWMD GW-7S (LEON CR-59),NWFWMD GW-4F-LZ (HWY27 DOT)/S812,NWFWMD GW-12F (RIVERSPRINGS MS)/S820,NWFWMD GW-2S (FT BRADEN)/S805,NWFWMD GW-6S (MICC GREENWAY),NWFWMD GW-2F-UZ (FT BRADEN)/S826,NWFWMD GW-3F-UZ (ANF FR-305),AMES SINK/S555,MUNSON SLOUGH @ CAPITAL CIRCLE,FORDS ARM TRIB@MERD,ALFORD ARM TRIB@BUCK,CENTRAL D.D.@ORANGE,WEST DRAINAGE DITCH @ ROBERTS AVE,LAKE KANTURK OUTFALL,LAKE LAFAYETTE OUTFALL,NE D.D.@MAHAN DR,PARK AV D.D.@ VIOLET - S100,LAKE JACKSON FACILITY AKA 64/606,NE Drainage Ditch @ Centerville and Blairstone,Central Drainage Ditch @ Lake Bradford Road,Boone Blvd Holding pond (City ID# 700),St. Marks River @ San Marcos de Apalachee S.P.,Still Creek at Capitola Rd,Lake Iamonia Outfall @ Meridian Rd,LEON HIGH SCHOOL STORMWATER INLET,LAKE BRADFORD,ST. MARKS RIVER @ TRAM RD,LAKE KINSALE OUTFALL,LAKE MUNSON OUTFALL,MUNSON SLOUGH @ OAKRIDGE ROAD,BLACK CREEK @ CR 267,LOST CREEK @ ARRAN RD (CR 368),BRADFORD BROOK @ AENON CHURCH ROAD,WEST DRAINAGE DITCH @ US 90,ALFORD ARM TRIB@MICC,EAST D.D.@ADAMS ST,QUINCY CREEK@SR 267,FISHER CREEK @ SPRINGHILL RD.,WAKULLA RIVER AT BOAT TRAM,"John Knox Pond, Megginnis Tributary",Lake Jackson - Miller Landing Road,Lauder Pond near Thomasville/Bannerman Rd,Regional Stormwater Facility - City of Tallahassee,Southwood SW Pond SB111B,Southwood SW Pond WD005,Lake Miccosukee @ US90 Outfall,LAKE IAMONIA EAST,LAKE KILLARNY AT MCLAUGHLIN DRIVE,LAKE KANTURK AT CLIFDEN DR,INDIAN SPRING RUN AT SR61,ST. MARKS RIVER - UPPER DISCHARGE BEFORE SWALLET
2017-01-27,6.340833333333329,15.025416666666642,20.722395833333344,38.61302083333332,25.91562500000003,33.623333333333335,55.489583333333336,83.02570058175434,3.8190625000000007,3.9891666666666654,6.619513888888904,21.439062500000045,21.61822916666662,0.0,5.452499999999998,7.711354166666683,44.36093749999998,43.86885416666669,36.903645833333336,48.16989583333335,40.94126315789476,56.58458333333336,135.72614645833326,82.651745245457,36.72906249999998,5.482010809525795,160.08111295312503,145.781473368421,80.92807181156253,83.78656250000002,12.97653474,26.50657011,101.1780035,46.09254517,30.54606597,37.81341305,74.41364716,42.48524208364756,46.99026757,60.50780518,96.19137722,64.22535433,46.08281944,138.8499375,-0.285052083,53.10473965,99.58851108,104.2652465,29.87946875,29.37305208,74.80055918,26.52882,13.14432292,32.26145833,28.55717708,40.62127083,48.47331944,57.625375,42.46070139,129.1833889,38.57246875,3.621510405,135.486684,82.924875,160.2706042,46.319625,32.45256944,29.55,79.39791667,98.30234375,73.27979167,73.31546875,5.243125,9.488892223196927
2017-01-28,6.220729166666671,15.08229166666665,20.793333333333297,38.61760416666663,26.01843750000002,33.80375000000001,55.50583333333332,83.02570058175434,3.685833333333333,3.862604166666669,6.5132638888889,21.371041666666617,21.544062499999978,0.0,5.330833333333332,7.638541666666675,44.364166666666655,43.87499999999999,36.78260416666663,47.74718749999996,40.96305263157895,56.6341666666666,135.91916697916668,82.651745245457,36.411145833333386,5.482010809525795,160.09273136041662,145.82579052631576,80.91880492572916,83.77500000000005,12.23589238,26.38095802,101.120816,46.02442018,30.52537153,37.70719798,74.3814071,42.48524208364756,46.8751459,60.45093063,96.15651903,64.16943376,45.85778472,138.6014479,-0.517604167,52.85309031,99.59667084,104.2646563,29.96207292,29.1889375,74.77661993,26.516764477058825,12.39994791,32.05994792,27.73467708,40.55929167,48.45486458,57.50028819,42.43733333,129.082625,38.529395835,3.6417968844999997,135.41145835,82.90112500000001,160.1902743,46.2886875,32.445677079999996,29.55001736,79.373958335,98.26570312499999,73.217239585,73.252916665,5.170104167,9.488892223196927
2017-01-29,6.1534375,15.110937499999984,20.87906250000001,38.62718750000002,26.03791666666666,33.85375000000001,55.58500000000003,83.02570058175434,3.681458333333332,3.854791666666664,6.413194444444443,21.31708333333332,21.485833333333343,0.0,5.244166666666668,7.526875000000007,44.44635416666667,43.951145833333335,36.67302083333335,47.586145833333326,41.00957894736842,56.72541666666667,136.0700003125,82.651745245457,36.18927083333333,5.482010809525795,160.08445341354167,145.90989273684198,80.96049764385417,83.80562500000006,10.89775,26.31451259,101.0705035,45.94301382,30.50955556,37.72521896,74.35093624,42.48524208364756,46.82735035,60.41462878,96.14927982,64.13038885,45.63879167,138.3576458,-0.174114583,52.61064233,99.63456937,104.264066,30.03311458,29.01039583,74.76127443,26.504708954117646,11.49187502,31.89421875,27.07978125,40.49713889,48.45009028,57.48139931,42.4330625,129.047625,38.48939583,3.6697785,135.3573264,82.87180208,160.113,46.2880625,32.44795139,29.55118056,79.36651042,98.23395833,73.16114583,73.19697917,5.105208333,9.488892223196927
2017-01-30,6.046041666666663,15.071145833333311,20.88958333333334,38.558645833333365,25.949374999999996,33.879166666666656,55.58291666666665,83.02570058175434,3.5261458333333318,3.7001041666666654,6.269236111111128,21.23885416666668,21.40531250000004,0.0,5.115624999999997,7.345208333333329,44.41416666666668,43.93468750000002,36.54833333333335,47.39218750000004,40.9283157894737,56.70708333333329,136.1533321875002,82.651745245457,35.96989583333333,5.482010809525795,160.0562799447916,145.8889479999999,80.96225446125,83.78718750000004,10.04623958,26.26393522,101.0434722,45.89962844,30.50106597,37.60384726,74.30928914,42.48524208364756,46.80056296,60.38624391,96.13365148,64.08445155,45.44236806,138.1144167,-0.553489583,52.39864599,99.65087307,104.2648646,30.08790625,28.85716667,74.74546018,26.49265343117647,11.13026043,31.75104167,26.57259375,40.43052431,48.447,57.30214583,42.42512847,129.0212361,38.46465625,3.633749992,135.3227778,82.85888542,160.0566979,46.28830556,32.44645833,29.55003472,79.34651042,98.20583333,73.11822917,73.15270833,5.053958333,9.488892223196927
2017-01-31,5.991562500000005,15.027812499999984,20.922916666666683,38.51958333333336,25.97302083333337,33.963750000000005,55.60250000000003,83.02570058175434,3.5628124999999997,3.729895833333333,6.147430555555563,21.17750000000004,21.34218749999997,0.0,5.040104166666668,7.172916666666669,44.40604166666659,43.92510416666664,36.43708333333336,47.289687500000014,40.910210526315794,56.73093750000002,136.22718718750008,82.651745245457,35.78895833333335,5.482010809525795,160.03488064479168,145.88547263157912,80.97073474937501,83.78343750000003,9.334416712,26.23238563,101.0217014,45.83997572,30.49301042,37.58285901,74.26822854,42.48524208364756,46.78103091,60.36388276,96.13082104,64.07761101,45.29959028,137.8719167,-0.11046875,52.22958305,99.64090822,104.2678333,30.1318125,28.74680208,74.74334385,26.480597908235293,10.93166667,31.62145833,26.16530208,40.36451736,48.44670486,57.12051389,42.41557986,129.0208542,38.4354375,3.600000024,135.2919792,82.84294792,160.0062118,46.29380903,32.44392361,29.55010417,79.32916667,98.18578125,73.07958333,73.11583333,5.009166667,9.488892223196927
2017-02-01,5.956041666666663,14.970625000000023,20.973645833333347,38.47835443037973,26.004375000000024,33.98791666666667,55.64250000000001,83.02570058175434,3.6037499999999993,3.765520833333333,6.061458333333324,21.121458333333283,21.283124999999984,0.0,4.995208333333333,7.036250000000006,44.42989583333332,43.95604166666664,36.35406249999998,47.23864583333332,40.89936842105264,56.76604166666666,136.2768718749999,82.651745245457,35.67677083333336,5.482010809525795,160.01357311458335,145.90273347368432,80.98628652864583,83.79354166666673,8.770927119,26.2119586,101.030434,45.7669028,30.484,37.55690291,74.23743127,42.48524208364756,46.76360043,60.35129536,96.12371902,63.97645096,45.15992014,137.6330625,0.089791667,52.11725724,99.6021397,104.2678507,30.16670833,28.66820833,74.74169627,26.468542385294118,10.70036461,31.5075,25.82873958,40.30071528,48.44653125,57.03646875,42.42051042,128.9790486,38.426166665,3.6319021994347827,135.2707118,82.83440625,159.98145484999998,46.294685765,32.446111110000004,29.551128475,79.32611979500001,98.17611979,73.06130208,73.097109375,4.9917708335,9.488892223196927
2017-02-02,5.9305208333333335,14.903229166666677,21.12240740740741,38.422133333333335,25.989687500000027,34.03124999999998,55.662083333333335,83.02570058175434,3.5704166666666666,3.731979166666667,5.968263888888888,21.069374999999983,21.229270833333352,0.0,4.944383561643834,6.9275806451612825,44.43125,43.95572916666666,36.28458333333335,47.21249999999998,40.8763157894737,56.78239583333331,136.30656125,82.651745245457,35.59520833333333,5.55142857142857,159.9838338145833,145.89347063157896,80.9664514396875,83.79406250000001,8.510510428,26.19771181,101.1017882,45.6863298,30.49742014,37.54909009,74.20623117,42.48524208364756,46.75367037,60.34737119,96.12123774,63.99214266,45.03011111,137.3973681,0.000520833,52.04555565,99.5639789,104.270125,30.19373958,28.60216667,74.74792993,26.456486862352943,10.54682294,31.4090625,25.54233333,40.23873611,48.44042014,56.99692014,42.43879167,128.9624167,38.41689583,3.663804374869565,135.2494444,82.82586458,159.9566979,46.2955625,32.44829861,29.55215278,79.32307292,98.16645833,73.04302083,73.07838542,4.974375,9.488892223196927
2017-02-03,5.904583333333336,14.831666666666663,21.16148148148149,38.38666666666669,26.001562500000016,33.95916666666668,55.68833333333333,83.02570058175434,3.4869791666666674,3.645520833333332,5.8607638888888935,21.02406249999999,21.18354166666671,0.0,4.8210666666666695,6.7237837837837855,44.4639583333333,43.982604166666654,36.23968749999995,47.22343750000002,40.8776595744681,56.81937500000001,136.33812729166684,82.651745245457,35.55583333333333,5.426133333333331,159.95597065937497,145.90104926315794,80.95193996520833,83.80156250000003,8.3076191,26.18927044,101.0881076,45.6276493,30.49747222,37.52976715,74.17951409,42.48524208364756,46.74660289,60.34100022,96.11016451,64.02675356,44.91235069,137.1624201,-0.174583333,52.03557269,99.52102803,104.2723299,30.2168125,28.54378125,74.74670522,26.444431339411764,10.41703121,31.31921875,25.29592708,40.18243403,48.43720833,56.94898611,42.42705556,128.9379375,38.397,3.695706550304348,135.2171875,82.81128125,159.9011944,46.29783681,32.4459375,29.55,79.31442708,98.13223958,73.00083333,73.02979167,4.938333333,9.488892223196927
2017-02-04,5.847187499999996,14.736145833333351,21.20055555555557,38.31270833333336,25.950104166666687,33.74375,55.66666666666668,83.02570058175434,3.324166666666668,3.487604166666666,5.735694444444446,20.966875000000027,21.12729166666662,0.0,4.731562499999999,6.580729166666664,44.425,43.93854166666665,36.189687500000005,47.193437500000016,40.80541666666669,56.7875,136.33625302083342,82.651745245457,35.51177083333332,5.322499999999999,159.9179061489584,145.84364968749995,80.91573996625,83.77447916666675,8.065643817,26.17415741,101.0713368,45.57980212,30.52075347,37.50310057,74.13628576,42.48524208364756,46.73059764,60.33013199,96.10610081,64.00429799,44.79719444,136.9198507,-0.692604167,52.10031239,99.47863077,104.2673125,30.23066667,28.4870625,74.73592938,26.43237581647059,10.26401029,31.23130208,25.07790625,40.12630556,48.43628819,56.92995833,42.41403472,128.9276944,38.37658333,3.72760872573913,135.1825694,82.79195833,159.8456042,46.30139583,32.44925347,29.55190972,79.29390625,98.11,72.95697917,72.98588542,4.906458333,9.488892223196927
2017-02-05,5.822604166666658,14.66552083333334,21.23114583333334,38.295312500000016,26.01395833333334,33.75625,55.73125,83.02570058175434,3.353125000000001,3.5018749999999987,5.649166666666666,20.930625000000045,21.093854166666635,0.0,4.673437500000003,6.458749999999995,44.478333333333325,43.99364583333335,36.17479166666666,47.22708333333335,40.85666666666666,56.86020833333331,136.3504194791668,82.651745245457,35.48895833333329,5.248854166666672,159.89087268125,145.87156416666673,80.94732786479166,83.79979166666668,7.91430883,26.1646548,101.0688368,45.52705912,30.524625,37.55372593,74.09046753,42.48524208364756,46.71644787,60.32148603,96.15396525,64.15626929,44.71795833,136.6741736,-0.38625,52.02258691,99.43392685,104.26825,30.23103125,28.43044792,74.73312229,26.42032029352941,10.07359378,31.14630208,24.87696875,40.07208681,48.43474306,56.91926389,42.41523264,128.9120347,38.36085417,3.759510901173913,135.1558507,82.77602083,159.7889896,46.30552778,32.45038194,29.55177083,79.27416667,98.0903125,72.91463542,72.94791667,4.878333333,9.488892223196927
